Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[154]    0.0    0.00    0.00       1         global constructors keyed to _ZN4olib12openmedialib4initEv [154]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [182]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[155]    0.0    0.00    0.00       1         global constructors keyed to _ZN6GLChar8addLayerEv [155]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [174]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[156]    0.0    0.00    0.00       1         global constructors keyed to _ZN7GLAnime18initializeListviewEP8JahLayerb [156]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [173]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[157]    0.0    0.00    0.00       1         global constructors keyed to _ZN7GLWorld12buildEffectsEP8JahLayerb [157]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [166]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[158]    0.0    0.00    0.00       1         global constructors keyed to _ZN8QtPlayerC2EPK9QGLWidgetRKSsiP7QWidgetPc [158]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [172]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[159]    0.0    0.00    0.00       1         global constructors keyed to _ZNK10JahControl9classNameEv [159]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [177]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[160]    0.0    0.00    0.00       1         global constructors keyed to _ZNK10MainPlayer9classNameEv [160]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [170]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[161]    0.0    0.00    0.00       1         global constructors keyed to _ZNK11MainEncoder9classNameEv [161]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [168]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[162]    0.0    0.00    0.00       1         global constructors keyed to _ZNK8Jahshaka9classNameEv [162]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [178]
-----------------------------------------------
                0.00    0.00       1/1           __do_global_ctors_aux [8248]
[163]    0.0    0.00    0.00       1         global constructors keyed to _ZNK8QtPlayer9classNameEv [163]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [171]
-----------------------------------------------
                0.00    0.00       1/1           JahControl::createJahDesktopUI(QFrame*, QFrame*) [213]
[164]    0.0    0.00    0.00       1         createMinimizingLayout(QWidget*) [164]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to _Z4todov [143]
[165]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [165]
                0.00    0.00      35/974         olib::openpluginlib::property_typename::property_typename(wchar_t const*) [127]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to _ZN7GLWorld12buildEffectsEP8JahLayerb [157]
[166]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [166]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to _ZN11MainEncoder6fpsValE [147]
[167]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [167]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to _ZNK11MainEncoder9classNameEv [161]
[168]    0.0    0.00    0.00       1         __static_initialization_and_destruction_0(int, int) [168]
-----------------------------------------------
                0.00    0.00       1/1           global constructors keyed to _ZN10MainPlayerC2EPK9QGLWidgetP7QWidgetPKcP5QHBoxS8_S8_S8_S8_ [146]
